model,model_family,strategy,calibration_method,selection_split,roc_auc,pr_auc,precision,recall,f1,threshold,tn,fp,fn,tp
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.28399346672111064,0.37352309344790546,0.3226629552308049,0.18,38896,3507,2333,1391
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.2968856558308707,0.3506981740064447,0.32155607534162256,0.19,39310,3093,2418,1306
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.3075566750629723,0.3278732545649839,0.3173901741616844,0.2,39654,2749,2503,1221
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.31541924592009,0.3010204081632653,0.3080516625446551,0.21,39970,2433,2603,1121
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.326568841710896,0.28088077336197637,0.30200664068139166,0.22,40246,2157,2678,1046
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.33940852819807427,0.2650375939849624,0.29764776839565743,0.23,40482,1921,2737,987
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.34486692015209125,0.24355531686358753,0.28548945546112686,0.24,40680,1723,2817,907
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.3503372681281619,0.2231471535982814,0.27263779527559057,0.25,40862,1541,2893,831
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.36172204024333177,0.20757250268528463,0.26377751236990277,0.26,41039,1364,2951,773
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.36926250644662195,0.19226638023630505,0.25286950379657425,0.27,41180,1223,3008,716
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.3721719457013575,0.17669172932330826,0.23962126729788782,0.28,41293,1110,3066,658
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.3834066624764299,0.16380236305048335,0.2295390404515522,0.29,41422,981,3114,610
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.3914246196403873,0.15198711063372716,0.21895551257253384,0.3,41523,880,3158,566
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.4029163468917882,0.14097744360902256,0.2088720907101651,0.31,41625,778,3199,525
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.41552901023890787,0.1307733619763695,0.198937908496732,0.32,41718,685,3237,487
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.41312741312741313,0.11493018259935553,0.17983193277310924,0.33,41795,608,3296,428
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.41993637327677624,0.10633727175080558,0.16970216413113348,0.34,41856,547,3328,396
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.4302600472813239,0.09774436090225563,0.15929978118161925,0.35,41921,482,3360,364
stage5_lightgbm_smote_gpu,lightgbm,smote,raw,valid,0.7667841150712007,0.2568337809249825,0.44155844155844154,0.09129967776584318,0.15131286159323543,0.36,41973,430,3384,340
